104,Neisseria gonorrhoeae tetracycline-res,Nashua,New Hampshire,1983,,
105,Neisseria gonorrhoeae fluoroquinolones-res,Sydney,1992,,,
106,Neisseria gonorrhoeae pen/tet/cipr-res,Kitakyushu,1999,,,
107,Neisseria gonorrhoeae penicillin-res,London,1956,,,
108,Treponema pallidum,Moldova; Russia; Kazakhstan; Ukraine,1989,,,
109,Vibrio parahaemolyticus,Matsubara,Osaka-fu,Japan,1950,
110,Vibrio cholerae O139,Madras,India,1992,,
111,Vibrio cholerae O1 El Tor,Celebes Island; Sulawesi,1961,,,
112,Vibrio damsela,Louisiana,1971,,,
113,Vibrio fluvialis,Dhaka,1965,,,
114,Vibrio hollisae,Maryland,1976,,,
115,Vibrio metschnikovii,Chicago,Illinois,1978,,
116,Vibrio mimicus,Louisiana,1977,,,
117,Vibrio parahaemolyticus,Maryland,1971,,,
118,Cyclospora cayetanensis,PNG,1977,,,
119,Encephalitozoon cuniculi,Geneva,1987,,,
120,Encephalitozoon hellem,Texas: New York,1990,,,
121,Encephalitozoon intestinalis,Newark,NJ,1990,,
122,Enterocytozoon bieneusi,Haiti,1985,,,
123,Puumala virus,Croatia,1995,,,
124,Rabies Virus,La Gamba,Cost Rica,2001,,
125,Ebola virus,VA,1989,,,
126,Rift Valley Fever Virus,Egypt,1977,,,
127,Rocio virus,Sao Paulo State,Brazil,1978,,
128,Neisseria meningitidis serogroup A,China,1966,,,
129,Neisseria meningitidis serogroup W-135,Makkah; Al Madinah al Munawwarah; Jedda;Saudia Arabia,2000,,,
130,Neisseria meningitidis pen-res,Madrid,Spain,1985,,
131,Neisseria weaveri,Washington,1960,,,
132,Nocardia veterana,Austin & Repatriation medical Center,Heidelberg,Victoria,2001,
133,Orientia tsutsugamushi,Mount Fuji,1948,,,
134,Pseudomonas aeruginosa fluoroquinolone-res,Stamford,Connecticut,1987,,
135,Pseudomonas aeruginosa ceftazidimide-res,Germany,1985,,,
136,Pseudomonas aeruginosa imipenem-res,Japan,1988,,,
137,Rhodococcus equi,Minneapolis,Minnesota,1966,,
138,Rickettsia africae,Harare,Zimbabwe,1992,,
139,Rickettsia akari 1946,Queens,New York,New York,1946,
140,Rickettsia felis,Nueces County,Texas,1991,,
141,Rickettsia helvetica,Sweden,Uppsala,1997,,
142,Rickettsia honei TT-118,University Hospital,Chiang Mai,Thailand,1990,
143,Rickettsia honei,Australia,1993,,,
144,Rickettsia honei,Texas,US,1998,,
145,Rickettsia mongolotimonae,Marseille,France,1996,,
146,Rickettsia prowazekii,N'Gozi,Burundi,1995,,
147,Rickettsia japonica,Japan,1984,,,
148,Rickettsia slovaca,Midi-Pyrennes,France,1996,,
149,Rickettsia typhi,Texas,US,1983,,
150,Salmonella enteritidis,Hungary,1979,,,
151,Salmonella paratyphi A multidrug-resistance,Pakistan,1997,,,
152,Salmonella typhi cipro-res,Nepal,1991,,,
153,Salmonella typhi nalidixic acid-res,Vietnam,1993,,,
154,Salmonella typhi CT18,Vietnam,1993,,,
155,Salmonella typhi chlor-res,UK,1950,,,
156,Salmonella typhi multidrug-res,Pakistan,1990,,,
157,Serratia marcescens,Ankara,Turkey,1998,,
158,Serratia marcescens fluoroquinolone-res,Taiwan,1986,,,
159,Serratia marcescens carbapenem-res,London,UK,1982,,
160,Serratia marcescens carbapenem-res,Los Angeles,United States 1992,,,
161,Serratia marcescens carbapenem-res,Okazaki,Japan,1991,,
162,Serratia odorifera biogroup I,Tampa,United States,1987,,
163,Shigella dysenteriae,Indonesia,1998,,,
164,Shigella dysenteriae sulfa-res,Japan,1949,,,
165,Shigella dysenteriae tet-res,Japan,1953,,,
166,Shigella dysenteriae nalidixic acid-res,Congo,1982,,,
167,Shigella dysenteriae multiple drug-res,Japan,1956,,,
168,Staphylococcus aureus,Minnesota,1980,,,
169,Staphylococcus aureus multiple drug-res,UK,1976,,,
170,Staphylococcus aureus vanc-insensitive/meth-res,Japan,1996,,,
171,Staphylococcus aureus vanc-res,Dearborn,Michigan,2002,,
172,Staphylococcus epidermidis rifampin-res,Philadelphia,Pennsylvania,1994,,
173,Listeria monocytogene serotype 4b,Prince Edward Island,Nova Scotia,New Brunswick,1979,
174,Mycobacterium abscessus,Saint Louis,Missouri,1950,,
